,title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url,Job
1621,IT Рекрутер,,Алматы,Bereke Bank,05-07-2023,Опыт работы в направлении рекрутинга не менее 2-х лет (или от 1 года по IT рекрутингу). Знакомство с различными...,"Полный цикл отбора потенциальных кандидатов (просмотр резюме, проведение собеседований, первичная оценка технических навыков). Коммуникация с нанимающими менеджерами. Работа с кандидатами...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83040704,Recruiter
1622,Менеджер по подбору персонала (линейка),250000 - 250000 KZT,Алматы,TOIMART,29-06-2023,"Высшее образование приветствуется. Опыт работы от 1 года на аналогичной позиции. Знание казахского языка обязательно. Ответственность, активность. Коммуникабельность. Стрессоустойчивость. ","Подбор персонала ( линейка, производство): Контроль сроков и качества закрытия вакансий. Проведение собеседований. Взаимодействие с руководителями структурных подразделений по вопросу формирования...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/79701711,Recruiter
1623,HR менеджер по подбору персонала,220000 - 300000 KZT,Астана,Шафия (Аптечная сеть Альфамед),24-07-2023,"Средне/спец или высшее образование. Коммуникабельная, шустрая, энергичная.",Подбор персонала. Поиск сотрудников. Подача объявлений. Отчетность. Адаптация персонала.,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/80090327,Recruiter
1624,Специалист по подбору персонала,400000 - 400000 KZT,Алматы,Камерир,24-07-2023,Опыт работы в найме персонала от 3-лет. - Умение работать в режиме многозадачности. - Грамотная речь. - Коммуникабельность. - Ориентированность на результат.,"Поиск персонала на открытые вакансии компании в специализированных базах. - Мониторинг и анализ рынка труда/источников привлечения персонала. - Размещение вакансий, работа...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/82217224,Recruiter
1625,Рекрутер,,Алматы,AND Asia,03-07-2023,"Опыт работы рекрутером не менее 2-х лет. Успешный опыт в закрытия вакансий. Уверенный пользователь Microsoft office, excel. ",Рекрутинг на вакантные позиции. Массовый подбор. Участие в укреплении HR-бренда. Оценка деловых и личностных качеств кандидатов. Отчетность по рекрутингу.,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82918365,Recruiter
1626,Рекрутер,180000 - 300000 KZT,Астана,Метры,21-07-2023,"Образование средне-специальное или высшее. Грамотная устная и письменная речь. Уверенный пользователь ПК. Знание языков: Русский, Казахский. Опыт в рекрутинге...","Обзвон кандидатов и приглашение на собеседование. Активны найм. Вести переписку с кандидатом, пока он не дойдет до офиса. Привлечение кандидатов. ",,Нет опыта,Полная занятость,https://hh.ru/vacancy/83285792,Recruiter
1627,Специалист по подбору персонала,,Петропавловск,MAGNUM,30-06-2023,"Средне-специальное образование, высшее образование. Успешный опыт работы по поиску и подбору персонала не менее 1 года. Отличные коммуникационные навыки...",Подбор персонала (массовый подбор). Контроль сроков и качества закрытия вакансий. Проведение собеседований. Взаимодействие с руководителями структурных подразделений по вопросу формирования...,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82832158,Recruiter
1628,Рекрутер,300000 - 400000 KZT,Алматы,KazInvestStroy,26-06-2023,"Высшее образование. Опыт работы не менее одного года. Знание современных инструментов подбора персонала. Внутренняя организованность, проницательность, коммуникабельность, стремление к саморазвитию. ","Массовый подбор линейного персонала (механизаторы, строители), состав ИТР. Организация и проведение собеседований с кандидатами. Искать новые источники и методы по...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82374068,Recruiter
1629,Рекрутер,200000 - 200000 KZT,Астана,APM Kazakhstan (АПМ Казахстан),22-07-2023,Знание законодательства РК. Опыт работы в рекламном рынке (желательно). Опыт работы по данной позиции по подбору промо-персонала (желательно). ,Подбор персонала в проект. Ведение базы контактов кандидатов. Обзвон по холодной базе. Проведение интервью и оценки кандидатов. Размещение объявления на...,,От 1 года до 3 лет,Частичная занятость,https://hh.ru/vacancy/82869667,Recruiter
1630,Рекрутер/Менеджер по персоналу,,Алматы,Тен и Ко (TM BASILIC),11-07-2023,Опыт работы на данной позиций не менее 3 лет. Коммуникабельность.,"Точечный подбор персонала. Работа с откликами и ""холодный поиск"" кандидатов с использованием всех возможных источников. Составление вакансий, поиск и привлечение...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83251939,Recruiter
1631,Recruitment Specialist (People Department),,Алматы,KPMG,29-06-2023,"University degree. 2-3 years of previous recruitment experience, preferably with an international company or recruitment agency. Experience in conducting...",Working closely with business to understand business objectives in order to prioritize sourcing strategy and build pipeline for future needs. ,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/82776857,Recruiter
1632,Recruitment Specialist,,Алматы,LC Waikiki,27-06-2023,University Degree in a relevant field. Fluent in English (both written & verbal). Professional Expertise. Minimum 3 years of experience in...,Recruits the personnel for Country HQ positions in required qualifications in compliance with the corporate procedures and country legislation. ,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/82508281,Recruiter
1633,Руководитель отдела подбора персонала,400000 KZT,Алматы,АЛИДИ,04-07-2023,Практический опыт организации команды рекрутеров. Знание техник и методик подбора персонала. Развитые навыки коммуникации и деловой переписки. Работа с аналитикой. ,Формирование и обучение рекрутеров в своем отделе. Анализ эффективности подбора и оптимизация рекрутинговых процессов. Управление группой рекрутеров. Организация процесса подбора...,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/80340097,Recruiter
1634,Специалист по подбору персонала,250000 KZT,Алматы,Eurasian Machinery (Евразиан Машинери),23-07-2023,"Высшее / средне-специальное образование. Опыт работы в подборе персонала. Высокий уровень личной организованности, обучаемость. Ответственность, коммуникабельность, активность, внимательность. ","Поиск кандидатов. Взаимодействие с площадками hh.kz, olx.kz, enbek.kz, jobs.kz, nur.kz и другими соц. сетями. Скрининг резюме кандидата. Проведение телефонных интервью. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82434659,Recruiter
1635,Менеджер по массовому подбору персонала,20000 - 30000 RUR,Караганда,Евразия Консалтинг,24-07-2023,"Рассматриваем кандидатов с опытом и без. * предусмотрено обучение, которое будет оплачено в результате успешного прохождения.",Обрабатывать входящие/ исходящие обращения от кандидатов. Ведение отчетности о проделанной работе.,,Нет опыта,Полная занятость,https://hh.ru/vacancy/83604064,Recruiter
1636,Рекрутер (менеджер по подбору персонала),100000 - 400000 RUR,Астана,СИМПЛЕКС,18-07-2023,Опыт работы с вахтовым персоналом или в направлении аутсорсинга персонала от 1 года ОБЯЗАТЕЛЕН.,Нет планов по подбору персонала. Вы работаете на сделке.,,От 1 года до 3 лет,Частичная занятость,https://hh.ru/vacancy/83632557,Recruiter
1637,Специалист по подбору персонала,,Петропавловск,MAGNUM,05-07-2023,"Высшее образование; средне-специальное. Опыт работы на аналогичной должности от 1-го года. Умеете работать с большим объемом информации, и...","Массовый подбор персонала для филиальной сети. Контроль сроков и качества закрытия вакансий. Обработка заявок с различных ресурсов ( сайт, HR бот...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83029126,Recruiter
1638,HR-менеджер\Рекрутер,,Алматы,Логос Академия,24-07-2023,Опыт работы рекрутером\hr-менеджером в рекламных или ивент-агентствах в Казахстане. Отличное понимание рынка рекламных и ивент агентств Казахстана. ,Оперативно искать кандидатов и закрывать вакансии в рамках потребностей бизнеса Logos Group на территории Казахстана в двух ключевых направлениях: организация...,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83281252,Recruiter
1639,Recruiter,,Алматы,Test Pro,23-07-2023,"Test Pro одна из ведущих образовательных компаний в США по обучению QA, где вы сможете реализовать свой опыт, свои идеи...",Коммуникацией с потенциальными кандидатами на job-сайтах и в социальных сетях. Проведением интервью. Составлением и рассылкой писем потенциальным кандидатам. ,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82441669,Recruiter
1640,Рекрутер,,Алматы,Черный Принц & Черный Граф,11-07-2023,Грамотная устная и письменная речь. Свободное владение русским и казахским языками. Опыт работы на аналогичной позиции от 3 лет. ,"Активный поиск кандидатов на сайтах вакансий, соцсетях, сообществах, личных базах. - Проведение телефонных интервью с кандидатами. - Профессиональное тестирование кандидатов; свои тесты. - ",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83252206,Recruiter
1641,Специалист по подбору персонала,,Алматы,Жана-Самал,21-07-2023,"Коммуникабельность, стрессоустойчивость, целеустремленность.","Эффективный подбор продуктивных сотрудников (штат сотрудников до 500 человек, сфера деятельности сервис, обслуживание). Проверка рекомендаций соискателей, изучение характеристики и информации...",,Нет опыта,Полная занятость,https://hh.ru/vacancy/82227431,Recruiter
1642,Менеджер по персоналу (рекрутер),180000 - 280000 KZT,Костанай,UniGroup Юг,16-07-2023,Ответственность. Коммуникабельность. Стрессоустойчивость. Умение искать персонал на различных платформах.,"Размещение информации о вакансиях в открытых источниках (сайт ХХ, соц. сети). Проведение собеседований с кандидатами. Направление кандидатов на работу и...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/81577584,Recruiter
