title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Back End разработчик (PHP Laravel),,Алматы,Thousand IT Company,21-07-2023,"Знание принципов построения и работы сайтов, серверов. Проектирование и разработка REST API. Профессионализм, ответственность, компетентность, готовность развиваться и постигать новое.","Доработка и разработка новых внешних и внутренних WEB-проектов, мобильных приложений и др. Разработка проектов на PHP (Laravel). ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82238159
Java-разработчик (Middle/Senior),,Астана,Национальные информационные технологии,29-06-2023,"Высшее профессиональное образование (Технические науки и технологии). Знание одного из фреймфорка для автоматизации сборки проектов (maven, gradle, ant). ","Разработка, модификация конфигурации проекта. Поддержка ПО.",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/82712540
Golang разработчик,600000 - 1100000 KZT,Алматы,OneVision,05-07-2023,"Git. Golang. Postgres. Clickhouse. Redis. Docker, docker-compose. Kubernetes.",Разработка информационных систем с нуля. Исправление багов. Разработка новых фич. Код ревью. Обмен опытом с командой. Написание dockerfile для образов...,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83010894
Middle Frontend Developer,300000 - 500000 KZT,Алматы,МАУЛЬШАРИФ,30-06-2023,"Знание React + TS, React Query, React Hooks, i18next. Знание @mantine/forms +hooks + dates. Знание Vite.js. ",Разработка админской части сайта. Оценка задач и их выполнение. Внедрение новых технологий и практик.,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82842578
Backend-разработчик (Node.js),,Алматы,Аврора Холдинг,05-07-2023,"Умение разбираться в чужом коде. Оценка и планирование рабочего времени. Соблюдение основных принципов программирования, такие как DRY, SOLID и тд.",Писать сервер на Node.js. Разработка highload систем. Доработка и оптимизация существующих систем. Разработка новых микросервисов и модулей.,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/77943289
Программист,,Алматы,MFO BNK Finance Kazakhstan,13-07-2023,"Знание теории реляционных баз данных. Умение читать, расписывать техническое задание. Образование - высшее или средне-специальное. Знание языков: SQL, PL/SQL...","Автоматизация с помощью SQL, PL/SQL, Oracle. Поддержка пользователей. Тестирование разработок. Основы работы с БД: Oracle.",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83369047
Front-end Developer,,Астана,Grintern,20-07-2023,"Completed bachelor's degree in Computer Science, Engineering, or related field, or equivalent training, fellowship, or work experience. ","Front-end development tasks, working on the front end of the main web application. Building robust, well-tested services and...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83749909
Senior Python разработчик,,Алматы,Globerce Inc.,29-06-2023,Python 3.6-3.8. Опыт работы с Django/Flask/FastApi. Опыт работы с DRF. Умение писать асинхронный код с...,Разработка web части сайтов на Django. Разработка REST сервисов на DRF. Разработка async сервисов. Разработка клиентов для работы со сторонними...,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/82772989
IT-специалист / Веб-дизайнер / Фронтенд-разработчик,200000 KZT,Шымкент,PHYTO-APIPHARM,13-07-2023,"1. Опыт работы на аналогичной должности не менее 2-3 лет. 2. Глубокие знания HTML, CSS, и JavaScript. 3. ","1. Обеспечивать надлежащее функционирование и обслуживание компьютеров и оргтехники в организации. 2. Разрабатывать и поддерживать веб-сайт компании, обеспечивая удобный...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83394729
Программист Colvir,400000 - 600000 KZT,Астана,Исламский банк Заманбанк,14-07-2023,"Отличное знание АБИС Colvir. Отличное знание языка PL/SQL, SQL. Отличное знание банковских бизнес-процессов. Умение работать с JSON, XML. ","Разработка и поддержка функционала АБИС Colvir. Поддержка действующих модулей: РКО, Бухгалтерия банк, Гарантии, Регуляторная отчетность, Платежная система, Главная книга и...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83436123
