title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Product менеджер в Игровую платформу,,Алматы,"Beeline, ТМ",13-07-2023,Есть опыт разработки и развития нескольких продуктов одновременно в роли <highlighttext>Product</highlighttext> Owner/<highlighttext>Product</highlighttext> <highlighttext>manager</highlighttext> (опыт в game dev - плюс). ,"На основе данных управлять воронкой конверсии как в раздел Игры, так и в каждую конкретную игру. Вместе с командой разработки...",,Более 6 лет,Полная занятость,https://hh.ru/vacancy/83374373
Старший менеджер продуктов (Product Manager),,Астана,"Beeline, ТМ",10-07-2023,"Высшее (менеджмент, телекоммуникации, экономическое) образование, Высшее ИТ, маркетинг, менеджмент или управление проектами. Знание принципов работы, ключевых систем, структуры ИТ систем...","Навыки анализа, планирования, прогнозирования, бюджетирования, разработки и внедрения продуктов. Находить и анализировать возможности рынка и потребности ЦА для создания концепта...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83189246
Senior Product Manager (Corporate brand generics),,Алматы,TEVA,18-07-2023,"Higher education. 3-5 years’ overall experience in marketing of multinational FMCG and/or Pharmaceutical company. Excellent analytical skills, ability...","Analyze market performance of CBG portfolio, Monitor competitive activities, regularly execute pricing monitoring; prepare regular performance reports + upon management...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83620419
Product manager VAS B2B,,Алматы,Мобайл Телеком-Сервис (Объединенная Компания Tele2/ALTEL),12-07-2023,"Образование: высшее техническое, экономическое, маркетинговое образование. Опыт работы;не менее 1 года в коммерческой сфере. Опыт работы в мобильных операторах...",Разработка стратегии взаимодействия с партнерами. Исследование рынка и поиск потенциальных партнеров. Анализ конкурентов и их стратегий. Определение критериев отбора партнеров...,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83310309
Product manager в отдел по работе с Китаем (со знанием китайского языка),,Алматы,RHENUS INTERMODAL SYSTEMS,11-07-2023,"Опыт работы со складами. Образование – высшее, средне-спец.. Знание китайского языка. Опыт работы с СВХ. MS Office, Excel. Английский – Intermediate. ",Строгое выполнение поставленных задач. - Ведение отчетности. - Привлечение клиентов. - Выстраивание взаимоотношений со складами.,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83278632
Web Product Analyst,3500 EUR,Алматы,Wisebits,26-06-2023,"Опыт работы Web или продуктовым аналитиком. Экспертные знания в Google Analytics (понимание принципов сбора и агреггации данных, кастомные отчеты, обращения...","Работа с базами данных: в основном MySQL и реже Clickhouse. Выполнение отдельных запросов от Project, <highlighttext>Product</highlighttext> <highlighttext>managers</highlighttext>, а также от...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/82402898
Специалист по продуктовому маркетингу/Product manager,350000 KZT,Алматы,КСЭ Казахстан,21-07-2023,"Опыт запуска продуктов, услуг, дополнительных опций со стороны продающих подразделений (маркетинг, коммерция). Преимуществом будет являться работа в логистических компаниях, ритейле...","Подготовка тактики и стратегии развития продукта, включая: Ценовое позиционирование. Определение и развитие приоритетных каналов продаж. Запуск новых источников монетизации. ",,Нет опыта,Полная занятость,https://hh.ru/vacancy/82849045
Product manager,,Алматы,МФО ОнлайнКазФинанс (ТМ Solva),04-07-2023,Успешный бэкграунд управления продуктом в секторах МСБ или B2C (желательно). Актуальный опыт работы в компаниях финансового сегмента (в...,"Управлять продуктом и отвечать за PnL. Искать проблемы и предлагать идеи для улучшения экономических и бизнес-показателей, глубоко погрузиться в...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/82978237
Бренд-менеджер (Brand/Product manager) по продвижению эксклюзивной продукции,,Караганда,Аманат,11-07-2023,"...на позиции медицинского представителя по продвижению брендов лекарственных средств, <highlighttext>продакт</highlighttext>-<highlighttext>менеджера</highlighttext>, бренд-менеджера приветствуется. Знания и навыки основных маркетинговых подходов...",Разработка и реализация плана по развитию новых и поддержанию уже существующих брендов компании в долгосрочной перспективе. Аналитика больших объемов данных...,,Нет опыта,Полная занятость,https://hh.ru/vacancy/76640573
Product Manager,,Алматы,АНТАЛ БИЗНЕС РЕШЕНИЯ (ТМ Antal Kazakhstan),04-07-2023,"...на позиции медицинского представителя по продвижению брендов лекарственных средств, <highlighttext>продакт</highlighttext>-<highlighttext>менеджера</highlighttext>, бренд-менеджера приветствуется. Знания и навыки основных маркетинговых подходов...",Разработка и реализация плана по развитию новых и поддержанию уже существующих брендов компании в долгосрочной перспективе. Аналитика больших объёмов данных...,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82979694
