title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
ML-разработчик в RecSys,,Алматы,Яндекс,13-07-2023,Больше двух лет занимались промышленным ML. Хорошо знаете Python или C++. Работали в поисковых проектах или над рекомендательными системами.,Команда ML-проектов Браузера помогает внедрять в продукты генеративные и классические методы и разрабатывает собственные проекты на основе машинного обучения. ,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83412768
Senior ML Engineer,6000 USD,Алматы,Пану Ольга Германовна,17-07-2023,"1. In-depth knowledge of: Machine Learning, Deep Learning, Training customisation, ML frameworks. 2. Known architectures: Transformer, LLM, GNN, Autoencoders. ","The company develops a system capable of semantic processing of programming code, e.g., code analysis, transformation, and synthesis, as...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83572366
ML Research Engineer/Data Science Engineer,,Астана,MY.GAMES,17-07-2023,"Basic algorithmic training: knowledge of basic algorithms and data structures, as well as their implementation in standard libraries. ","Prepare and analyze in-game and advertising data. Build ML models for predicting ""monetary"" events, striking a compromise between performance...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82182144
