title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Специалист по IT (Системный администратор),80000 - 100000 KZT,Алматы,Help Desk Service,11-07-2023,Знание сетевых технологий. Базовые знания ПК и программ устанавливаемых на ПК. Желание решать проблемы пользовательского уровня. Если у Вас нет...,Устранение проблем на стороне пользователей. - Настройка и работа с сервером. - Удаленная поддержка клиентов. - Настройка локальных сетей и периферии. - ,,Нет опыта,Полная занятость,https://hh.ru/vacancy/83277476
Специалист по IT,200000 - 250000 KZT,Астана,IT Srvice@,17-07-2023,"Видеонаблюдение IP/Analog. ЛВС , маршрутизация интернета, знание топологии сети.. Требования: - Желание получить хороший опыт и стать <highlighttext>специалистом</highlighttext>. - Обучаемость.",Выполнение заявок по городу (большое количество филиалов). - Выполнение заявок через удаленный доступ в офисе. - Техническая поддержка и обслуживание.,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83517717
IT-специалист,280000 - 300000 KZT,Алматы,GAB Construction,17-07-2023,"Навыки, знания и задачи системного администратора. Умение работать с веб-серверами (Apache, Ngninx, IIS). Понимание модели OSI. Знание операционных систем...","Обслуживание компьютерной, офисной и оргтехники: Ремонт используемой техники. Обеспечение бесперебойной работы всех ПК и устранение неисправностей. Помощь штатным сотрудникам, работающим...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83528007
Специалист по IT,400000 - 450000 KZT,Алматы,FOOD BEVERAGE TRADING,22-07-2023,"Высшее техническое образование. Опыт работы в сфере IT, наличие навыков менеджера. Знание английского языка приветствуется. Знание основных принципов построения сетей...",Консультирование по техническим вопросам. Работа с техническими <highlighttext>специалистами</highlighttext> производителей. Поддержка и развитие информационной платформы. Мониторинг и анализ рынка и особенностей...,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83193401
Специалист по IT,250000 - 400000 KZT,Алматы,Мыслинская,13-07-2023,"Знание аппаратной части ПК, сетевого оборудования. Навыки самообучения, ответственность, умение работать в команде. Наличие собственного автотранспорта.","Обеспечение бесперебойной работы компьютерной и оргтехники клиентов. Информационно-техническая поддержка клиентов. Установка/настройка ПО, драйверов. Установка и настройка ПО для...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/81413658
IT-специалист,,Алматы,Sports Entertainment,19-07-2023,"Знание приложений Microsoft. Требования: Опыт установки и обслуживания компьютерных систем. Опыт настройки программного обеспечения. Логическое мышление, способность самостоятельно принимать решения. ","Техническая поддержка пользователей. Обеспечение бесперебойной работы ИТ инфраструктуры офиса. Установка нового оборудования и программного обеспечения. Мониторинг работы серверов, поддержка бесперебойной...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83657145
Специалист по IT,300000 - 500000 KZT,Алматы,ПТО КазОхотРыболовСоюз,12-07-2023,"Совершенное знание word excel. Работа с word excel. На должность IT-<highlighttext>специалиста</highlighttext> принимается лицо, имеющее высшее профессиональное (математическое, инженерно-математическое...",,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83315058
Специалист по IT,,Астана,"Назарбаев интеллектуальные школы, Автономная организация образования",17-07-2023,Наличие высшего образования в области информационных технологий. Наличие опыта работы по специальности не менее 2 лет. Наличие опыта работы в...,Техническая поддержка работоспособности IT инфраструктуры и пользователей (helpdesk). Внедрение и сопровождение программного обеспечения . Участие в составлении технических заданий. ,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83518693
Technical specialist Help Desk / IT cпециалист,200000 - 400000 KZT,Алматы,Paloma365,05-07-2023,with passion for technology (software and etc). - with Ability to work independently and passion to learn. - who are ready to...,You will be collaborating with a diverse team including both technical and business people across the world with the purpose...,,Нет опыта,Полная занятость,https://hh.ru/vacancy/83006449
Специалист по IT (мкр. Жулдыз),200000 KZT,Алматы,Global Foods,03-07-2023,Знание на уровне администратора программ семейства MS. Умение диагностировать оборудование. Стрессоустойчивость. Умение объяснять и слушать. Обучаемость. Возможность приезжать на работу...,"Поддержка инфраструктуры офиса. Обновление налоговых программ, СОНО. Настройка кабинета налогоплательщика. Поддержка ПО Агент плюс и Optimum (Программы для торговых представителей). ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82937737
IT Рекрутер,300000 - 400000 KZT,Алматы,Neocode,23-07-2023,Вы имеете опыт подбора в IT рекрутинге от 6 месяцев. Обладаете знаниями и навыками оценки soft skills. Умеете вести переговоры...,Разрабатывать и внедрять эффективные стратегии поиска для привлечения квалифицированных ИТ-<highlighttext>специалистов</highlighttext> по различным каналам. Ведение отчетности по процессу поиска и...,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83523279
IT-специалист,300000 - 300000 KZT,Алматы,Caspian Offshore Construction,21-07-2023,,"Обслуживание, настройка работоспособности офиса. Установка-настройка 1С Предприятие-Бухгалтерия. Настройка СОНО, КНП, ЭСФ, Банк-клиент, Телефония, локальная сеть и...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83790168
Ведущий IT специалист,,Алматы,Нурбанк,18-07-2023,"Всему сами научим, главное от вас желание работать. Требования: Базовое знание ПК. 1 ГОДА РАБОТЫ В БАНКОВСКОЙ СФЕРЕ, ЕСЛИ НЕТ...",Работать с pos-терминалами. Работать с банкоматами.,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83609070
Технический специалист IT отдела,,Алматы,Finenex,21-07-2023,Высшее или среднее образование в сфере IT. Знание и опыт работы с ПК. Знание языков казахского и русского языка. ,Техническое сопровождение и обеспечение работоспособности ПО и оборудования. Поддержка и устранение технических проблем ПО и оборудования. Обучение клиентов и сопровождение...,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83793180
Специалист IT,,Атырау,Инфинити Орда,10-07-2023,Опыт работы с программой R-Keeper. Опыта работы на аналогичной должности от 3 лет. Опыта установки и настройки ОС Windows...,"Администрирование Windows серверов 2008 R2, 2012 R2, 2016-2019. Администрирование Next Cloud, Cloud Linux. Настройка Wi-Fi сети...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83198849
Специалист по IT и видеонаблюдению,200000 - 300000 KZT,Усть-Каменогорск,УК ТРК,09-07-2023,"Опыт работы с торговым оборудованием ТСД, сканера штрихкодов, фискальные регистраторы, весы с печатью этикеток, принтеры чеков. Навыки и опыт работы...","Монтаж и настройка оборудования (Видеонаблюдение, СКС, СКУД). Проектирование ЛВС. Обслуживание и ремонт систем видеонаблюдения, сетей электроснабжения (кабельные линии, слаботочных систем...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83184984
Специалист по IT,170000 KZT,Павлодар,Logitex,26-06-2023,"Высшее/ средне-специальное образование в сфере IT. Опыт работы в сфере IT от 1 года. Коммуникабельность, стрессоустойчивость, целеустремленность.","Проведение системно-технического обслуживания парка компьютеров. Настройка компьютерного и периферийного оборудования. Установка и настройка OC Windows. Монтаж, установка систем безопасности...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82380335
Специалист IT / Системотехник,,Астана,Учреждение Международная школа Spectrum,23-07-2023,Образование: Профильное образование в сфере IT. Опыт работы: не менее 1 года. Знание языков: владение казахским и английским языками (уровень...,Техническое сопровождение и обеспечение работоспособности it-инфраструктуры организации. Настройка компьютерного и периферийного оборудования. Установка и настройка OC Windows. ,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83559422
