title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Frontend-разработчик,,Алматы,ALSER (Gulser Computers),19-07-2023,"Уверенное владение Javascript. Опыт работы с Vue.js, Angular. Опыт кросс-браузерной разработки. Хорошее знание HTML и CSS. Знакомство с js...",Разработка веб-приложений на современном стеке. Участие в обсуждении и принятии архитектурных решений. Участие в code review. Мобильная верстка.,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83677598
Junior Frontend-разработчик (React),,Алматы,ICEBERG-Service,06-07-2023,От тебя потребуется: React. Соблюдение принципов DRY и KISS. Плюсом будет знание: Node.JS. Основные принципы работы с Docker.,"Интересный в реализации и идее продукт, участие в обсуждении архитектурных решений, выборе технологий; современный стек технологий.",,Нет опыта,Полная занятость,https://hh.ru/vacancy/83063710
Frontend-разработчик,500000 KZT,Астана,АДмастерс,20-07-2023,Новые знания и сильное окружение. Опыт коммерческой frontend разработки от 2-х лет. Знание современных стандартов и методов разработки веб...,Экосистема TrustMe находится в поиске Frontend-разработчика. Поддерживать и развивать архитектуру проекта. Поднимать новый проект для переноса сайта на новые...,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83741301
Стажер\Data engineer\Python developer,,Алматы,ASTER AUTO,26-06-2023,Опыт работы с реляционным базами данных: Должны быть базовые навыки работы с SQL (PLSQL или MySQL). Базовые навыки программирования на...,"Разработка и методики ETL процессов и архитектуры. Разработка хранилища DWH и Data Lake. Разработка различных парсеров (web, логи, excel и...",,Нет опыта,Стажировка,https://hh.ru/vacancy/82440351
Frontend-разработчик сайтов на WordPress / верстальщик сайтов,,Алматы,Сова-принт,23-07-2023,Опыт вёрстки сайтов с нуля с Figma или PSD макета. Наличие выполненных работ (действующие сайты выложенные в интернет). ,Разработка сайтов на WordPress. Вёрстка сайтов без использования конструкторов.,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83903620
Верстальщик / Front end разработчик сайтов в Digital Agency,200000 - 300000 KZT,Алматы,GB Travel,22-07-2023,"Опыт работы более 2 лет. Знание html, css, javascript, php, python, react, Wordpress. Оперативность и ответственность. Обязательно Портфолио ( без портфолио...","Верстка сайтов в основном лендинги, корпоративные сайты, интернет магазины ( верстка с прототипов сайтов в Figma). Посадка сайта на домен и...",,От 1 года до 3 лет,Частичная занятость,https://hh.ru/vacancy/83834723
Junior C# Developer,150000 - 180000 KZT,Алматы,FinTechPro,19-07-2023,"C# - знания синтаксиса языка, умение написания методов, понимание принципа написания кода, на уровне теории в том числе. Знание базовых алгоритмов. ","T-SQL - написание простых\сложных запросов, написание хранимых функций\процедур.",,Нет опыта,Полная занятость,https://hh.ru/vacancy/83693915
Junior/Middle Java-разработчик,200000 - 800000 KZT,Алматы,Crystal Spring,20-07-2023,Высшее образование в области технических наук и технологий (компьютерная инженерия/ информационные системы/ вычислительная техника и программное обеспечение/ прикладная математика). ,"Разработка и поддержка логики серверной части (back-end) с использованием Java, Spring Boot, Node JS, Play, MySql, Gradle. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83724828
Middle Java Developer / Разработчик на Java Middle,,Алматы,Khan Group,18-07-2023,"Знание и умение работать с Linux, Java, JavaEE, Spring, Spring Boot, MySQL на уровне Middle+. Знание и умение использовать различные...","Разработка веб-приложения с микросервисной архитектурой на Java 11 - 17 (Java EE, Spring, Spring Boot). Создание микросервисов и библиотек.",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83588071
Web front-end developer,,Астана,iDala,12-07-2023,"JavaScript, CSS, HTML, желательно знание JS фреймворков, умение работы с GIT. Желательно понимать: Vue/ Vuex; или React. Опыт коммерческой разработки...","В 2020 году была основана фирма iDala (Астана, Казахстан) по разработке и созданию оригинальных IT решений (стартапов) преимущественно в области...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83332273
Middle python developer,,Актобе,Омас Интегрейтед,18-07-2023,"Опыт работы с веб не менее 3 лет. Основы Web HTML/CSS. Python 3, Flask, Django REST Framework. ","Разработка новых и сопровождение существующих проектов компании. Разработка серверной части веб-приложения, разработка API (Django Framework). Docker, Gitlab CI. ",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83622444
Java разработчик,,Алматы,"Bank RBK, АО",26-06-2023,"Обязательно: - Опыт разработки web приложений от 2 лет. Язык опыта не важен, главное чтобы на данный момент человек знал как...",,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82440804
Программист АСУТП,950000 - 1000000 KZT,Алматы,TAPC Group,18-07-2023,Знание и практический опыт работы со SCADA-системами. Знание и практический опыт работы с ПЛК. Знание основ построения АСУТП. ,Участие в разработке проектов АСУ ТП объектов нефтяной и газовой промышленности. Разработка и отладка программного обеспечения систем SCADA. ,,Более 6 лет,Полная занятость,https://hh.ru/vacancy/83621370
"Front-end разработчик (Vue.js, Nuxt.js)",300000 - 500000 KZT,Актау,bytech,21-07-2023,"Опыт работы с Vue.js,Nuxt.js, Composition API. Современный HTML, CSS и SCSS. Уметь кроссбраузерно верстать используя гриды и флексы, не...",Участие в разработке проекта с 0 (Ecommerce). Разработка кастомных компонентов. Верстка интерфейсов по дизайну из Figma. Разработка взаимодействия с API. ,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83817184
Разработчик программного обеспечения Java,,Алматы,"Филиал Nuctech Co.,Ltd in the AIFC",17-07-2023,"Общие навыки: 1. Иметь хорошие навыки кодирования, иметь навыки написании документов по функциям модульного проектирования, владеть инструментами контроля (SVN, Git...","Дорогой соискатель. 1. Сотрудничать с китайскими инженерами-программистами в разработке программного обеспечения. 2. Отвечать за разработку, отладку и тестирование программного...",,Нет опыта,Полная занятость,https://hh.ru/vacancy/83518409
IOS - программист,,Алматы,АО «Bank Freedom Finance Kazakhstan»,17-07-2023,Знание Swift и Objective C. Желание развиваться в сфере iOS разработки. Наличие высшего образования.,Разработка мобильного приложения Банка.,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83523268
Разработчик баз данных SQL,,Астана,Холдинг Самгау,24-07-2023,"Активно растущие проекты и амбициозные планы их развития. Логическое мышление. Отличное знание SQL. Умение писать запросы в базах PostgreSQL, Oracle...","Слаженная и ответственная команда разработки. Множество выстроенных процессов - работаем по спринтам, задачи ведём в JIRA, код храним в GitLab, документацию...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83909883
Веб разработчик,300000 KZT,Астана,Standart Mittal,18-07-2023,"опыт работы в веб разработке. — понимание ООП, принципов SOLID. — базовое понимание архитектурных паттернов. Что будет плюсом: — умение разбираться в чужом...",реализовывать серверное веб решение. — участвовать в обсуждении вектора развития проекта. — работать с чужим кодом.,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83624535
Junior Java developer,,Алматы,InnoForce Group,04-07-2023,"Опыт разработки на Java не менее 1 года, опыт работы со Spring обязателен. Знание принципов ООП, SOLID, паттернов проектирования. ",Разработка и настройка ПО для интеграционных сервисов на основе микросервисной архитектуры. Создание новых систем и рефакторинг существующих систем. ,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82978913
Сотрудник по поддержке сайта (Web разработчик) в Университет КАЗГЮУ,,Астана,"КазГЮУ, АО",17-07-2023,"Умение писать скрипты JS + PHP. Требования: - Знания языков программирование HTML, CSS, PHP, mySQL. - Высокая скорость работы без потери качества...",Разработка и настройка веб-сайтов: CMS WordPress разработчик отвечает за создание и настройку веб-сайтов на базе платформы WordPress. ,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83516684
Frontend-разработчик,400000 - 600000 KZT,Алматы,Фабрика проектов,12-07-2023,Навыки: JS. Vue.js. Nuxt.js. Клиенты из разных сфер [хорошо развивает кругозов].,Разработка новых проектов. Поддержка запущенных проектов. Обсуждение новых проектов от клиентов и предложение решений. Принимать решение по архитектуре разработки. ,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83351608
Middle IOS-разработчик,,Алматы,Khan Group,18-07-2023,"Уверенное знание Swift, алгоритмов и структур данных. Знание ООП, паттернов. Опыт работы с API(Client-Server, REST). Опыт работы с...",Верстка UI под iOS (Autolayout). Moya для сетевых запросов.,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83588263
"Программист .net (C#, ASP.NET Core, MSSQL, Javascript)",,Астана,findexIT,19-07-2023,Знание .NET Framework (C#). Знание принципов объектно-ориентированного программирования. Базовые знания JavaScript. Опыт работы с СУБД MS SQL Server 2012...,"Поддержка ранее разработанного ПО (доработка, исправление ошибок). Разработка бизнес-приложений и систем различного уровня сложности. Отладка и исправление программного кода. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83657890
