title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Менеджер по подбору персонала / начинающий специалист,170000 - 270000 KZT,Астана,THE BEST SELLER,24-07-2023,"Социально-активный человек, который любит общаться с людьми. Знание двух языков (русского и казахского). Желание ЗАРАБАТЫВАТЬ. Пунктуальность.",Принимает заявки на поиск и подбор персонала. Работает с поступающими откликами на вакансию. Ведет базу данных кандидатов. Отвечает на звонки...,,Нет опыта,Полная занятость,https://hh.ru/vacancy/83325393
Рекрутер,350000 KZT,Алматы,BEED Group,12-07-2023,"Главное в кандидате – ответственность и желание развиваться, расти и узнавать что-то новое.Мы всему научим!",Определить параметры потребности и составить описание вакансии. Осуществлять поиск кандидата. Проводить первичное собеседование с соискателями (по телефону). Заниматься проверкой документов...,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83310951
Рекрутер,,Алматы,Народный банк Казахстана,05-07-2023,Высшее образование. Опыт работы в подборе персонала не менее 3-х лет. Опыт работы в IT рекрутинге (обязательно).,Продвижение HR-бренда компании. Проведение полного цикла подбора персонала. Участие в проектах Preboarding и Onboarding. Поддержание актуального кадрового резерва. ,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83038463
Специалист по подбору персонала,150000 KZT,Кызылорда,"Фирма Best-Service LTD, ТОО",19-07-2023,"Коммуникабельность, знание программы Word, Excel. Опыт работы в отделе кадров как табельщика приветствуется. Знание казахского языка обязательно.",1. Определение потребности организации в кадрах с учетом изменений в деятельности организации и перспектив развития организации. 2. Изучение состояния рынка...,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83667655
Помощник рекрутера (ресечер),,Алматы,Elite Business Group,24-07-2023,Высшее образование. Грамотная устная и письменная речь. Умение работать на результат и работать в команде. Отличные навыки тайм-менеджмента. ,"Работа с внутренней базой кандидатов и с внешними источниками поиска. Поиск кандидатов, просмотр резюме, предварительный отбор. Проведение первичных телефонных скринингов. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83934394
Ведущий менеджер по подбору персонала,,Астана,Ventra,30-06-2023,"Опыт успешного точечного подбора на все уровни. Высшее образование. Ты - активный, нацеленный на результат, у тебя высокий уровень коммуникативных навыков.","Поиск и подбор персонала на офисные позиции (от специалиста до ТОП-менеджмента). Определение эффективных источников подбора. Проведение интервью, оценка профессиональных...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/82848820
Ведущий HR менеджер/ Рекрутер,,Шымкент,"Отау Строй, ТОО",21-07-2023,Наличие высшего образования. Опыт работы по профилю не менее 3 лет. Знание современных инструментов поиска и подбора персонала. ,"Выявлять потребности бизнеса и решать все задачи в зоне HR. Построение HR - бизнес-процессов, регламентов и процедур. Активный рекрутинг, формирование...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83614131
Рекрутер,300000 - 350000 KZT,Алматы,Hard skills foundation,23-07-2023,позитивный и общительный. -владеющий навыками найма сотрудников. -владеющий методиками оценки и мотивации персонала.,"А еще выезды на природу, прайм-сессии, встречи с коучами, бизнес-тренерами и психологами, чемпионаты по теннису и киберспорту, игры...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82881088
Рекрутер/Специалист по подбору персонала/HR-менеджер,200000 - 300000 KZT,Алматы,Керемет (ЖАНТЕЛИЕВ Б.Д.),04-07-2023,"Кандидат любящий свою работу, в сфере найма персонала. — Знание казахского языка. — Быть позитивным и общительным человеком. — Умение находить общий язык...","Составление вакансий, поиск и привлечение кандидатов на открытую позицию. — Стажировка и адаптаций сотрудников на рабочем месте. — Контроль выполнение задач. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82366755
Специалист Департамента по управлению человеческими ресурсами (рекрутинг),,Алматы,Жилищный строительный сберегательный банк Отбасы банк,21-07-2023,"Просим внимательно ознакомиться с обязанностями и требованиями к данной вакансии, а также не откликаться, в случае отсутствия опыта работы в...",Построение системы эффективного найма и отбора. Проведение всех видов собеседований/интервью по компетенциям. Анализ рынка труда. Внутренние коммуникации. ,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83795776
