title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
"Региональный руководитель HR, г. Алматы",,Алматы,MAGNUM,17-07-2023,"Высшее образование. Опыт на позиции Руководителя от 3 лет. Опыт работы в организациях, со штатной численностью более 3000 сотрудников. ",Организация и планирование работы отдела рекрутинга и менеджеров персонала. Контроль укомплектованности региона необходимым персоналом. Реализация программ по обучению и повышению...,,Более 6 лет,Полная занятость,https://hh.ru/vacancy/83542544
HR-менеджер,450000 KZT,Алматы,"Caspian Contractors Trust,ТОО",22-07-2023,"Высшее образование (инженерное, филологическое, психологическое). Опыт работы в качестве Рекрутера не менее 5 (пяти) лет в строительстве или на производстве. ",Рекрутинг (оперативное закрытие вакансий в строительной сфере). Размещение вакансий на различных платформах. Проведение предварительного интервью. Подготовка заключения по кандидату. ,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83365140
HR менеджер,200000 - 250000 KZT,Алматы,Асыл Ет (ТОО Asyl Meat),08-07-2023,Оперативное закрытие всех вакансий компании. Опыт работы в отделе персонала от 3 лет и более. Знание законодательства в сфере трудовых...,"Полный цикл подбора персонала для группы компаний. Ведение документации (Трудовые договора, приказы, доп. соглашения, архив, должностные инструкции, табеля учета рабочего...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83174996
Рекрутер / HR-менеджер,300000 - 500000 KZT,Алматы,today.travel UK,23-07-2023,"Мы одно из главных турагентств Казахстана, которое задает тренды! 7 лет на рынке, 50 человек в команде и 60 бесплатных...",,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83260108
Senior HR Operations Specialist,,Алматы,AVON,20-07-2023,"Higher education. 3-5 years of HR experience. Experienced in Excel, Power point. English knowledge is obligatory required. ","Coordination of medical insurance and L&D programs (contracts, addendums, consultations). <highlighttext>HR</highlighttext> contracts <highlighttext>management</highlighttext> (tenders, track, updates). Preparation and update...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83768502
HR-специалист,150000 - 200000 KZT,Алматы,Halyk media group,24-07-2023,"ОБЯЗАТЕЛЬНО: знание казахского языка. Вы любите людей и желаете памощь найти работу. Новые знание заряжают вас, и вы им запоминаетесь. ","Проводить интервью на продуктивность, проверка мотивации, и профессиональных знаний кандидатов. Составлять «вкусное» объявление о найме и анкетировать, создать огромный поток...",,Нет опыта,Полная занятость,https://hh.ru/vacancy/83589589
HR менеджер,,Алматы,KUB CONSTRUCTION,01-07-2023,Опыт работы в HR ( кадровой) сфере от 3 лет. Работа в строительной сфере будет преимуществом. Отличное знание ТК РК. ,Полное ведение КДП. Ведение кадрового учета в программе 1С ЗУП. Ведение и контроль данных по сотрудникам в ЕСУТД. ,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/82871083
HR менеджер,250000 - 300000 KZT,Астана,Dostar coffee,15-07-2023,"Разговорный русский, казахский язык.","Поиск, подбор, отбор и адаптация сотрудников. Определение систем оплаты труда, мотивации и стимулирования. Участие в оперативном управлении и решение текущих...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/80512023
HR-специалист,300000 KZT,Шымкент,Спец-Авто,21-07-2023,Опыт работы в активном и массовом подборе персонала от 1 года и более - обязателен! Умение грамотно проводить оценку компетенций потенциальных...,"Массовый и активный поиск персонала на открытые вакансии компании, подбор специалистов разного уровня. Мониторинг и анализ рынка труда/источников привлечения...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83470087
HR менеджер,400000 - 500000 KZT,Алматы,Zhebe Logistics,10-07-2023,"Опыт рекрутинга (в сфере логистики будет преимуществом). - Опыт выстраивания бизнес-процессов. - Опыт во внедрении систем мотивации. - Стрессоустойчивость, системность. - ","Рекрутинг. - Проведение ассессмента. - Развитие персонала, создание учебной базы для сотрудников. - Разработка систем мотивации. - Развитие корпоративной культуры, поддержание внутренних коммуникаций и. ",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83234423
Менеджер по работе со студентами / Ассистент в отдел монетизации / HR рекрутер,150000 - 150000 KZT,Алматы,The flow,23-07-2023,"Владеешь навыками работы в Google таблицы. Ты мастер по структурированию информации. Ты легко находишь общий язык с незнакомыми людьми, тебе...","Съемка Зум Коллов. Фиксация результата монетизированных студентов. Сбор интересных вакансий через разные каналы, телеграм обращения из чатов, инстаграм страница, прямое...",,Нет опыта,Полная занятость,https://hh.ru/vacancy/82449948
Начинающий HR,180000 - 220000 KZT,Алматы,Sabiland,23-07-2023,Опыт работы в данной сфере не менее полугода/год. Инициативность и готовность браться за новые задачи. Вы можете продуктивно работать...,"Поиск и подбор персонала в соответствии с требованиями по открытым в компании вакансиям. Проведение телефонных, личных и групповых интервью с...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82782187
HR менеджер,,Павлодар,Рубиком,19-07-2023,Высшее образование и дополнительную подготовку в области hr-менеджмента. Законодательные и нормативные правовые документы по вопросам управления персоналом. ,Определяет потребности компании в персонале. Изучает рынок труда. Организует поиск кандидатов с использованием различных источников. Обеспечивает укомплектование компании кадрами. ,,Нет опыта,Полная занятость,https://hh.ru/vacancy/83659185
Ассистент HR-менеджера,150000 - 250000 RUR,Шымкент,МК Эксперт,24-07-2023,"Желание расти и развиваться в сфере HR. Коммуникабельность, нацеленность на результат. Опыт работы не обязателен - обучим всему сами! ",Подбор персонала проведение телефонных интервью с кандидатами. Работа с исключительно горячей базой кандидатов. Проведение очных собеседований.,,Нет опыта,Полная занятость,https://hh.ru/vacancy/83926191
HR менеджер,250000 - 500000 KZT,Астана,ЧК «OUTSOURCE DIRECTOR LTD.,23-07-2023,"Organizational Skills: Excellent organizational skills are required to <highlighttext>manage</highlighttext> multiple <highlighttext>HR</highlighttext> tasks, prioritize workload, and meet deadlines effectively.","Valuable Final Product (VFP) of role - employees who have been hired, adapted, and are performing well in their roles. ",,Нет опыта,Полная занятость,https://hh.ru/vacancy/83431830
HR менеджер,200000 - 250000 KZT,Астана,Центр подготовки (AIPLUS),21-07-2023,"Активного, энергичного и дружелюбного (активную, энергичную и дружелюбную) - мы сами такие и хотим поддерживать комфортную нам атмосферу в коллективе. ","Координация процесса найма: поиск и отбор кандидатов, согласно требованиям заказчика. Составление профиля кандидата совместно с заказчиком. Проведение интервью (собеседований) в...",,Нет опыта,Полная занятость,https://hh.ru/vacancy/82836608
HR-специалист в консалтинговую компанию,200000 - 400000 KZT,Алматы,PSS Group,21-07-2023,"5. Разработка базы знаний для компании. Высокий уровень коммуникабельности и самоорганизованности ответственность, ориентация на результат. Грамотная речь (устная и письменная). ",Отделы продаж. Орг. структура. Система финансов. Стратегия развития. KPI система. Аналитика бизнес процессов. 1. Активный поиск персонала на открытые вакансии...,,Нет опыта,Полная занятость,https://hh.ru/vacancy/83615835
HR менеджер,200000 KZT,Шымкент,«ТБ-EXPORT»,20-07-2023,"Опыт работы от 2-ух лет и более. Знание ТК РК , умение корректного ведения кадровых документов. Работа на платформе Enbek...",Поиск и подбор персонала на открытые вакансии. Ведение кадровых документов.,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83761778
HR директор,,Караганда,Карагандинский фармацевтический комплекс,10-07-2023,"Высшее профессиональное. Знание Microsoft Office, 1С ЗУП. Знание трудового законодательства РК. Знание законодательства и нормативных актов по вопросам выполняемой...","Разрабатывать эффективную и соответствующую стратегическим целям компании кадровую политику, систему мотивации и обучения персонала. Развитие HR-бренда и маркетинга для...",,Более 6 лет,Полная занятость,https://hh.ru/vacancy/83189489
HR менеджер / рекрутер,300000 - 670000 KZT,Алматы,АГЕНТСТВО НЕДВИЖИМОСТИ МЕЧТА,29-06-2023,"Отбор резюме по необходимым критериями, проведение собеседований, предварительный отбор кандидатов для приема на работу, тестирование кандидатов на выявление способностей, мотивации...","Написание объявлений о найме, размещение объявлений. Холодный поиск потенциальных кандидатов на должности, организация и проведение различных мероприятий по найму (конкурсы...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82749028
HR менеджер,,Астана,Art Flowers,21-07-2023,Опыт работы в найме персонала более 1 года.,"Поиск продуктивных людей во всевозможных источниках (сайты, рекомендации, соц.сети, ВУЗы и прочие). Интервью по телефону, очные собеседования, продажа идеи работать...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83814442
HR менеджер,,Алматы,"The Pharma Network (дочерняя компания Алкем Лабораториз Лимитед,Индия)",29-06-2023,"Высшее образование. Опыт работы от 3-6 лет. Английский специализированный: читать, писать, переводить, разговорный. Уверенный пользователь ПК.","Процесс КДП: -Подготовка всех видов приказов, трудовых договоров и дополнительных соглашений, командировочных удостоверений. -Формирование рабочих табелей (timesheets). -Ведение личных дел...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/82741539
HR менеджер,250000 KZT,Шымкент,Кофемолка,19-07-2023,Опыт работы на аналогичной позиции не менее 2 лет. Обладать отличными навыками межличностного общения. Обязательное знание ТК РК.,Поиск и подбор персонала. Кадровое делопроизводство.,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83657330
