title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
DevOPs Engineer,,Алматы,Jusan Bank,10-07-2023,"Знание и опыт работы ОС GNU/Linux. Git, nginx, jenkins, ansible, docker, haproxy, zabbix, postgresql, redis, mongo, gitlab. Систем кластеризации.","Автоматизация процессов CI/CD пайплайнов, написание инфраструктурного кода. Развитие системы мониторинга, логгирования и диагностики мобильного приложения.",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/71881140
Senior DevOps engineer,,Алматы,Prime Source,19-07-2023,"Навыки и опыт: ОС Linux (серверные и клиентские). Системы контейнеризации (Docker, Kubernetis). Виртуализация KVM/Vmware/OpenStack. RabbitMQ, Kafka. ","Сопровождение и развитие текущей инфраструктуры проекта, поддержка тестового окружения и переноса данных между тестовыми серверами. Разработка инструментов и автоматизация процессов...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83662660
AWS and VMware Systems Administrator / DevOps,102000 - 204000 RUR,Астана,ИНФИНАЙТ СИНЕРДЖИ,04-07-2023,4 years related hands-on experience required. 4 years of creating and updating CloudFormation templates preferred. Demonstrated hands on AWS...,"Manage internal development environment. Develop and maintain automation of repetitive tasks. Perform daily system tasks (review of logs, monitoring, backups...",,Более 6 лет,Частичная занятость,https://hh.ru/vacancy/82996942
DevOps инженер,,Алматы,МФО ОнлайнКазФинанс (ТМ Solva),24-07-2023,"1.5+ года опыта администрирования Linux. Понимание принципов работы современных сетей, опыт работы с сетевым стеком Linux (iptables/DNAT...","Разработка и внедрение инструментов и процессов для автоматизации сборки, тестирования, развертывания и масштабирования приложений. Управление конфигурациями системы и средствами автоматизации...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83801311
DevOps инженер (Мобильный цифровой оператор),,Алматы,"Beeline, ТМ",03-07-2023,Высшее образование в ИТ или смежной области. Опыт администрирования Linux систем и написанием скриптов на python или bash. ,Оценка и улучшение процесса развёртывания программного обеспечения. Изменение существующих скриптов для развёртывания. Поддержание стабильного качества продуктов и непрерывности процесса поставки. ,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/82893613
DevOps Engineer в SuperApp,,Алматы,Kcell,26-06-2023,"Автоматизация с использованием Ansible. Опыт работы с Linux на уровне администратора. Опыт настройки и управления серверами приложений Java, веб-серверами...","Управление экосистемой Docker (docker-файлы, образы, реестр, daemon и т.д.). Автоматизация процессов развертывания продукта/проекта средствами CI/CD (Jenkins...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82437756
Инженер по автоматизации (DevOps),,Алматы,"ALSECO, АО",27-06-2023,"Ориентированность на результат, стремление развиваться. Самоорганизованность и самодисциплину. Аналитическое мышление и умение систематизировать информацию. Знание принципов взаимодействия web-сервера и...","Администрировать платформу Kubernetes. Администрировать серверы Linux/Windows. Создавать и использовать скрипты для автоматизации рутинных задач (копирование, развёртывание систем, архивирование, мониторинг...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/81543476
DevOps Engineer,,Петропавловск,Setronica,19-07-2023,,"Занимаемся разработкой и интеграцией программного обеспечения для электронной коммерции, онлайн-рынков, доставки. Делаем ERP на заказ. Поддерживать существующую devops-архитектуру...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/78327678
Инженер DevOps в Едадил,,Алматы,Яндекс,07-07-2023,"Отлично понимаете механизмы работы облаков. Понимаете процессы работы сети, l2+l3+l4, SDN. Понимаете, как работает ядро...","Планировать, развивать и поддерживать инфраструктуру быстро растущих сервисов. Проектировать и настраивать сервисы и их связи в разных облаках, включая приватные. ",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83119233
Middle Devops engineer,,Алматы,Микрофинансовая организация KMF(КМФ),03-07-2023,Высшее образование. Опыт работы DevOps <highlighttext>инженером</highlighttext> от 1 года. Опыт администрирование Linux от 2-х лет. Опыт настройки и эксплуатации...,"Внедрение и развитие методологии DevOps в компании. Администрирование и развитие систем Kafka/Redpanda. Обеспечение непрерывного процесса доставки кода, включая его...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82887021
Senior DevOps Engineer,,Атырау,KIVORK,03-07-2023,4+ years of experience in a DevOps <highlighttext>Engineer</highlighttext> role or a similar position. Solid background in Linux administration. ,Configure and maintain our dedicated servers and cloud infrastructure. Improve high availability and fault tolerance of infrastructure. Reduce the cost...,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/82937142
Senior DevOps Engineer,,Астана,KIVORK,03-07-2023,4+ years of experience in a DevOps <highlighttext>Engineer</highlighttext> role or a similar position. Solid background in Linux administration. ,Configure and maintain our dedicated servers and cloud infrastructure. Improve high availability and fault tolerance of infrastructure. Reduce the cost...,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/82937923
Senior DevOps Engineer,,Алматы,KIVORK,03-07-2023,6+ years of experience in a DevOps <highlighttext>Engineer</highlighttext> role or a similar position. Solid background in Linux administration. ,Configure and maintain our dedicated servers and cloud infrastructure. Improve high availability and fault tolerance of infrastructure. Reduce the cost...,,Более 6 лет,Полная занятость,https://hh.ru/vacancy/82935792
